,film_id,title,cast,my_title,my_rating,budget,id,imdb_id,original_language,overview,poster_path,revenue,runtime,votes,imdb_rating,year,genre
675,675,Citizenfour,EDWARD SNOWDEN,CITIZENFOUR,8.5,0,293310,tt4044364,en,"In June 2013, Laura Poitras and reporter Glenn Greenwald flew to Hong Kong for the first of many meetings with Edward Snowden. She brought her camera with her. The film that resulted from this series of tense encounters is absolutely sui generis in the history of cinema:  a 100% real-life thriller unfolding minute by minute before our eyes. Poitras is a great and brave filmmaker, but she is also a masterful storyteller: she compresses the many days of questioning, waiting, confirming, watching the worldÃ_Â¢ÂŒÃ_ÂŒÂ»s reaction and agonizing over the next move, into both a great character study of Snowden and a narrative that will leave you on the edge of your seat as it inexorably moves toward its conclusion.",/yNuLhb2y6I5cO7BfiJ7bdfllnIG.jpg,3003169,114,44905,8.1,2014,DOCUMENTARY
676,676,Foxcatcher,"STEVE CARELL,CHANNING TATUM,MARK RUFFALO",FOXCATCHER,8,24000000,87492,tt1100089,en,The greatest Olympic Wrestling Champion brother team joins Team Foxcatcher led by multimillionaire sponsor John E. du Pont as they train for the 1988 games in Seoul - a union that leads to unlikely circumstances.,/vLZ8vG6qAeMW5iAtc4pJ5kJyqjr.jpg,12096300,134,119269,7,2014,DRAMA
677,677,Supermensch: The Legend of Shep Gordon,,SUPERMENSCH,7,0,209416,tt3074780,en,"Supermensch documents the astounding career of Hollywood insider, the loveable Shep Gordon, who fell into music management by chance after moving to LA straight out of college, and befriending Janis Joplin, Jim Morrison and Jimi Hendrix. Shep managed rock stars such as Pink Floyd, Luther Vandross, Teddy Pendergrass and Alice Cooper, and later went on to manage chefs such as Emeril Lagasse, ushering in the era of celebrity chefs on television.",/1spRBeofv0knLliedyqOI8DS7sz.jpg,0,75,2875,7.4,2013,DOCUMENTARY
678,678,Avengers: Age of Ultron,"ROBERT DOWNEY JR,CHRIS EVANS,CHRIS HEMSWORTH,MARK RUFFALO,SCARLETT JOHANNSON,JAMES SPADER",THE AVENGERS: AGE OF ULTRON,7.5,280000000,99861,tt2395427,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and EarthÃ_Â¢ÂŒÃ_ÂŒÂ»s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg,1405403694,141,558492,7.4,2015,COMICBOOK
679,679,Edge of Tomorrow,"TOM CRUISE, EMILY BLUNT",EDGE OF TOMORROW,7,178000000,137113,tt1631867,en,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",/tpoVEYvm6qcXueZrQYJNRLXL88s.jpg,370541256,113,500704,7.9,2014,COMICBOOK
680,680,Going Clear: Scientology and the Prison of Belief,,GOING CLEAR: SCIENTOLOGY AND THE PRISON OF BELIEF,7,0,318224,tt4257858,en,"Going Clear intimately profiles eight former members of the Church of Scientology, shining a light on how they attract true believers and the things they do in the name of religion.",/jSPtAWXKd4NFJInCiA653bxdf8L.jpg,0,119,30948,8,2015,DOCUMENTARY
681,681,Mad Max: Fury Road,"TOM HARDY,CHARLIZE THERON",MAD MAX: FURY ROAD,8,150000000,76341,tt1392190,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",/kqjL17yufvn9OVLyXYpvtyrFfak.jpg,378858340,120,689809,8.1,2015,ACTION
682,682,While We're Young,"BEN STILLER,NAOMI WATTS, ADAM DRIVER",WHILE WE WERE YOUNG,7,10000000,252512,tt1791682,en,An uptight documentary filmmaker and his wife find their lives loosened up a bit after befriending a free-spirited younger couple.,/r1kMa31JOk32LmDHxw1eJhFUw6i.jpg,7587485,97,37474,6.3,2014,COMEDY
683,683,Point Break,"KEANU REEVES,PATRICK SWAYZE",POINT BREAK,7,24000000,1089,tt0102685,en,"In the coastal town of Los Angeles, a gang of bank robbers call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. The F.B.I. believes that the members of the gang could be surfers and send young agent Johnny Utah undercover at the beach to mix with the surfers and gather information.",/zAt6vprHgkQCaQ5n6qwfXd4zAcD.jpg,83531958,120,126888,7.2,1991,ACTION
684,684,Contact,"JODIE FOSTER,MATTHEW MACOUGNAHEY",CONTACT,7,90000000,686,tt0118884,en,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",/yRF1qpaQPZJjiORDsR7eUHzSHbf.jpg,171120329,150,222184,7.4,1997,SCI-FI
685,685,Horrible Bosses 2,"JASON BATEMAN, CHARLIE DAY, JASON SUDEIKIS, CHRISTOPH WALTZ",HORRIBLE BOSSES 2,6,42000000,227159,tt2170439,en,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.",/zRkLCOx7o9tjPYb9s7u6mpw8VOs.jpg,107670357,108,132872,6.3,2014,COMEDY
686,686,Solitary Man,MICHAEL DOUGLAS,SOLITARY MAN,6.5,15000000,36691,tt1294213,en,A car magnate watches his personal and professional life hit the skids because of his business and romantic indiscretions.,/ivKFRGUewkP3kMEq5RrnzSwYX2t.jpg,5024782,90,14297,6.4,2009,DRAMA
687,687,Raiders of the Lost Ark,"HARISSON FORD,KAREN ALLEN",RAIDERS OF THE LOST ARK,7,18000000,85,tt0082971,en,"When Dr. Indiana Jones Ã_Â¢ÂŒÃ_ÂŒÃ± the tweed-suited professor who just happens to be a celebrated archaeologist Ã_Â¢ÂŒÃ_ÂŒÃ± is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",/44sKJOGP3fTm4QXBcIuqu0RkdP7.jpg,389925971,115,741538,8.5,1981,ACTION
688,688,Jurassic World,"CHRIS PRATT, BRYCE DALLAS HOWARD",JURASSIC WORLD,6,150000000,135397,tt0369610,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,1513528810,124,481939,7,2015,ACTION
